============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Sep 20 2021  02:45:30 pm
  Module:                 uart_top
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                        Leakage    Dynamic     Total   
            Instance             Cells Power(nW)  Power(nW)  Power(nW) 
-----------------------------------------------------------------------
uart_top                           734   124.229 252929.049 253053.278 
  ins_uart_transceiver_A           367    62.120 113977.799 114039.918 
    ins_rx_wrapper                 185    33.159  77491.111  77524.270 
      ins_rx_buffer                 58    13.631  49294.848  49308.479 
      ins_rx_fsm                    71    10.497  20745.990  20756.487 
      ins_sampli..ick_generator     56     9.031   7450.273   7459.304 
    ins_tx_wrapper                 182    28.961  36486.687  36515.648 
      ins_tx_fsm                    87    11.880  17673.880  17685.760 
      ins_tx_buffer                 52     9.007  11766.214  11775.221 
      ins_sampli..ick_generator     43     8.074   7046.593   7054.667 
  ins_uart_transceiver_B           367    62.109 128978.298 129040.406 
    ins_rx_wrapper                 185    33.176  89576.391  89609.567 
      ins_rx_buffer                 58    13.637  61199.167  61212.804 
      ins_rx_fsm                    71    10.489  20532.112  20542.601 
      ins_sampli..ick_generator     56     9.050   7845.112   7854.162 
    ins_tx_wrapper                 182    28.933  39401.906  39430.839 
      ins_tx_fsm                    87    11.853  20596.204  20608.057 
      ins_tx_buffer                 52     9.015  12746.710  12755.725 
      ins_sampli..ick_generator     43     8.065   6058.992   6067.057 

